Experiment,Repository,Function,Model,LOC,CC,MI,Rank
1,Rich,decimal,Original,30,1,100.00,-
1,Rich,decimal,ChatGPT,39,1,100.00,3
1,Rich,decimal,Gemini,31,1,100.00,1
1,Rich,decimal,Claude,34,1,100.00,2

2,Cookiecutter,read_user_choice,Original,45,9,83.71,-
2,Cookiecutter,read_user_choice,ChatGPT,72,7,83.60,1
2,Cookiecutter,read_user_choice,Gemini,61,11,82.12,2
2,Cookiecutter,read_user_choice,Claude,82,11,79.81,3

3,Flask,wsgi_app,Original,33,7,73.26,-
3,Flask,wsgi_app,ChatGPT,56,7,86.17,1
3,Flask,wsgi_app,Gemini,56,7,85.98,2
3,Flask,wsgi_app,Claude,64,7,82.79,3

4,Pandas,_get_filepath_or_buffer,Original,206,28,68.18,-
4,Pandas,_get_filepath_or_buffer,ChatGPT,195,28,64.66,3
4,Pandas,_get_filepath_or_buffer,Gemini,182,26,67.52,1
4,Pandas,_get_filepath_or_buffer,Claude,214,28,67.97,2

5,Scikit-learn,validate_data,Original,133,22,65.99,-
5,Scikit-learn,validate_data,ChatGPT,97,22,74.40,1
5,Scikit-learn,validate_data,Gemini,130,16,68.91,2
5,Scikit-learn,validate_data,Claude,145,22,62.40,3

6,Requests,prepare_url,Original,81,18,73.00,-
6,Requests,prepare_url,ChatGPT,70,17,69.84,3
6,Requests,prepare_url,Gemini,70,17,78.30,1
6,Requests,prepare_url,Claude,76,18,75.79,2
